"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US55025011104","Census Tract 111.04, Dane County, Wisconsin","3996","467",
"1400000US55025011201","Census Tract 112.01, Dane County, Wisconsin","3888","409",
"1400000US55025011202","Census Tract 112.02, Dane County, Wisconsin","6207","748",
"1400000US55025011301","Census Tract 113.01, Dane County, Wisconsin","6582","543",
"1400000US55025011302","Census Tract 113.02, Dane County, Wisconsin","3153","449",
"1400000US55025011403","Census Tract 114.03, Dane County, Wisconsin","3033","501",
"1400000US55025011404","Census Tract 114.04, Dane County, Wisconsin","7045","621",
"1400000US55025011405","Census Tract 114.05, Dane County, Wisconsin","3976","521",
"1400000US55025011406","Census Tract 114.06, Dane County, Wisconsin","4706","1410",
"1400000US55025011407","Census Tract 114.07, Dane County, Wisconsin","1751","216",
"1400000US55025011504","Census Tract 115.04, Dane County, Wisconsin","4492","740",
"1400000US55025011505","Census Tract 115.05, Dane County, Wisconsin","4175","395",
"1400000US55025011506","Census Tract 115.06, Dane County, Wisconsin","5951","718",
"1400000US55025011507","Census Tract 115.07, Dane County, Wisconsin","5917","804",
"1400000US55025011508","Census Tract 115.08, Dane County, Wisconsin","3614","399",
"1400000US55025011600","Census Tract 116, Dane County, Wisconsin","7427","641",
"1400000US55025011700","Census Tract 117, Dane County, Wisconsin","4115","394",
"1400000US55025011800","Census Tract 118, Dane County, Wisconsin","6543","551",
"1400000US55025011900","Census Tract 119, Dane County, Wisconsin","6947","331",
"1400000US55025012002","Census Tract 120.02, Dane County, Wisconsin","4896","370",
"1400000US55025012003","Census Tract 120.03, Dane County, Wisconsin","6631","476",
"1400000US55025012004","Census Tract 120.04, Dane County, Wisconsin","2744","442",
"1400000US55025012100","Census Tract 121, Dane County, Wisconsin","2543","229",
"1400000US55025012201","Census Tract 122.01, Dane County, Wisconsin","2253","412",
"1400000US55025012202","Census Tract 122.02, Dane County, Wisconsin","6743","517",
"1400000US55025012300","Census Tract 123, Dane County, Wisconsin","5368","470",
"1400000US55025012400","Census Tract 124, Dane County, Wisconsin","4612","409",
"1400000US55025012501","Census Tract 125.01, Dane County, Wisconsin","6781","618",
"1400000US55025012502","Census Tract 125.02, Dane County, Wisconsin","6062","529",
"1400000US55025012600","Census Tract 126, Dane County, Wisconsin","4544","307",
